productKey,date,price,priceType,source,evidenceRef
candy-vpct-vpgt-series,2026-06-15,7995,promo,https://shopee.co.th/product/184920733/26853787935,capture-2026-06-15
tcl-savein-ai-series,2026-06-15,8590,promo,https://shopee.co.th/product/1025131800/23777230236,capture-2026-06-15
xiaomi-mijia-air-inverter-eco,2026-06-14,7924,list,https://shopee.co.th/product/389528981/49105546219,capture-2026-06-14
midea-celest-msce,2026-06-15,7490,list,https://shopee.co.th/product/338734338/57308205291,capture-2026-06-15
daikin-ftkb-sabai-series,2026-07-02,12875,promo,https://shopee.co.th/product/120361613/2148527960,capture-2026-07-02
hisense-ce-series,2026-07-02,8452,promo,https://shopee.co.th/product/54473054/25171357270,capture-2026-07-02
haier-vqec-series,2026-07-02,9545,promo,https://shopee.co.th/product/184920733/29154242468,capture-2026-07-02
mitsubishi-msy-ka-vf-series,2026-07-02,14668,promo,https://shopee.co.th/product/141005876/23280824297,capture-2026-07-02
panasonic-cs-cu-yu9zkt,2026-07-02,12750,promo,https://shopee.co.th/product/315769706/25912587679,capture-2026-07-02
panasonic-cs-cu-yn9ykt,2026-07-02,12750,promo,https://shopee.co.th/product/315769706/22741284722,capture-2026-07-02
